,Aerage,,,,,,
-22.34,1683.96,,,,,,
-22.32,1795.44,,,,,,
-22.3,1701.88,,,,,,
-22.28,1689.16,,,,,,
-22.26,1786.92,,,,,,
-22.24,1749.84,,,,,,
-22.22,1747.12,,,,,,
-22.2,1755.36,,,,,,
-22.18,1643.6,,,,,,
-22.16,1723.8,,,,,,
-22.14,1699.96,,,,,,
-22.12,1674.56,,,,,,
-22.1,1606.6,,,,,,
-22.08,1724.8,,,,,,
-22.06,1633.16,,,,,,
-22.04,1629.56,,,,,,
-22.02,1707.72,,,,,,
-22,1853.48,,,,,,
-21.98,1815.44,,,,,,
-21.96,1682.76,,,,,,
-21.94,1649.48,,,,,,
-21.92,1816.84,,,,,,
-21.9,1746.56,,,,,,
-21.88,1756.6,,,,,,
-21.86,1681.64,,,,,,
-21.84,1833.48,,,,,,
-21.82,1673.6,,,,,,
-21.8,1713.92,,,,,,
-21.78,1722.64,,,,,,
-21.76,1707.68,,,,,,
-21.74,1760.44,,,,,,
-21.72,1740.48,,,,,,
-21.7,1753.52,,,,,,
-21.68,1825.48,,,,,,
-21.66,1773.8,,,,,,
-21.64,1761.52,,,,,,
-21.62,1739.72,,,,,,
-21.6,1844.96,,,,,,
-21.58,1618.88,,,,,,
-21.56,1727.08,,,,,,
-21.54,1812.04,,,,,,
-21.52,1833.16,,,,,,
-21.5,1659.6,,,,,,
-21.48,1750.24,,,,,,
-21.46,1639.76,,,,,,
-21.44,1660.04,,,,,,
-21.42,1705.52,,,,,,
-21.4,1699.32,,,,,,
-21.38,1714.72,,,,,,
-21.36,1751.6,,,,,,
-21.34,1772.72,,,,,,
-21.32,1742.56,,,,,,
-21.3,1722.8,,,,,,
-21.28,1772.6,,,,,,
-21.26,1704.64,,,,,,
-21.24,1660.12,,,,,,
-21.22,1745.92,,,,,,
-21.2,1848.52,,,,,,
-21.18,1783.76,,,,,,
-21.16,1746.36,,,,,,
-21.14,1628.84,,,,,,
-21.12,1710.4,,,,,,
-21.1,1880.48,,,,,,
-21.08,1719,,,,,,
-21.06,1727.44,,,,,,
-21.04,1780,,,,,,
-21.02,1757.48,,,,,,
-21,1710.76,,,,,,
-20.98,1756.52,,,,,,
-20.96,1801.08,,,,,,
-20.94,1785.68,,,,,,
-20.92,1793.8,,,,,,
-20.9,1694.36,,,,,,
-20.88,1743.2,,,,,,
-20.86,1668.96,,,,,,
